id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,age,km_class,km_per_year,km_per_month,company
246,Bajaj Pulsar 150,35000.0,2010,Individual,1st owner,40000,,15,8,2666.667,222.222,Bajaj
247,TVS Centra,10000.0,2005,Individual,1st owner,50000,,20,10,2500.0,208.333,TVS
248,Honda Activa 3G,42000.0,2015,Individual,1st owner,20000,54605.0,10,4,2000.0,166.667,Honda
249,Yamaha FZ16,20000.0,2009,Individual,1st owner,50000,78712.0,16,10,3125.0,260.417,Yamaha
250,Hero Maestro Edge,25000.0,2017,Individual,1st owner,55000,52790.0,8,11,6875.0,572.917,Hero
251,Bajaj Discover 125,25000.0,2016,Individual,1st owner,70350,60122.0,9,15,7816.667,651.389,Bajaj
252,Royal Enfield Thunderbird 350X,145000.0,2019,Individual,1st owner,2700,164004.0,6,1,450.0,37.5,Royal Enfield
253,Hero Super Splendor,50000.0,2016,Individual,1st owner,20000,,9,4,2222.222,185.185,Hero
254,TVS Scooty Pep Plus,30000.0,2011,Individual,1st owner,20000,,14,4,1428.571,119.048,TVS
255,Yamaha FZ V 2.0,60000.0,2014,Individual,1st owner,41311,81508.0,11,9,3755.545,312.962,Yamaha
256,Hero Honda Splendor Plus,15000.0,2005,Individual,1st owner,65000,,20,13,3250.0,270.833,Hero Honda
257,Hero CD Deluxe,15000.0,2014,Individual,2nd owner,34000,,11,7,3090.909,257.576,Hero
258,Hero Honda Passion PRO [2012],25000.0,2011,Individual,1st owner,20000,,14,4,1428.571,119.048,Hero Honda
259,Hero HF Deluxe i3s,54000.0,2019,Individual,1st owner,11000,,6,3,1833.333,152.778,Hero
260,Bajaj Xcd,25000.0,2007,Individual,1st owner,75000,,18,15,4166.667,347.222,Bajaj
261,Royal Enfield Interceptor 650,260000.0,2019,Individual,1st owner,1200,,6,1,200.0,16.667,Royal Enfield
262,Honda CBR-250R,100000.0,2014,Individual,1st owner,19000,199275.0,11,4,1727.273,143.939,Honda
263,Bajaj Kristal,15000.0,2007,Individual,1st owner,30000,,18,6,1666.667,138.889,Bajaj
264,Hero Honda Splendor Plus,20000.0,2006,Individual,1st owner,23000,,19,5,1210.526,100.877,Hero Honda
265,Honda Dream Yuga,35000.0,2014,Individual,1st owner,10000,56147.0,11,2,909.091,75.758,Honda
266,Yamaha FZ S V 2.0,50000.0,2016,Individual,1st owner,40000,87042.0,9,8,4444.444,370.37,Yamaha
267,Hero Xpulse 200,90000.0,2019,Individual,1st owner,8600,107500.0,6,2,1433.333,119.444,Hero
268,Bajaj V15,40000.0,2016,Individual,1st owner,45000,67187.0,9,9,5000.0,416.667,Bajaj
269,Bajaj Avenger Street 220,80000.0,2016,Individual,1st owner,7200,95955.0,9,2,800.0,66.667,Bajaj
270,Bajaj Discover 135,20000.0,2010,Individual,1st owner,31195,,15,7,2079.667,173.306,Bajaj
271,Honda CB Unicorn 150,70000.0,2017,Individual,1st owner,18000,74295.0,8,4,2250.0,187.5,Honda
272,Vespa SXL 149,98000.0,2019,Individual,1st owner,1000,,6,1,166.667,13.889,Vespa
273,Royal Enfield Machismo,75000.0,2008,Individual,2nd owner,17000,,17,4,1000.0,83.333,Royal Enfield
274,Honda CB Shine SP,50000.0,2016,Individual,1st owner,46000,67214.0,9,10,5111.111,425.926,Honda
275,Honda CB Unicorn 150,40000.0,2014,Individual,1st owner,77592,74295.0,11,16,7053.818,587.818,Honda
276,Honda CB Unicorn 150,75000.0,2013,Individual,1st owner,54000,74295.0,12,11,4500.0,375.0,Honda
277,Honda CB Unicorn 150,50000.0,2013,Individual,1st owner,17000,74295.0,12,4,1416.667,118.056,Honda
278,Bajaj Pulsar 150,60000.0,2014,Individual,1st owner,60000,,11,12,5454.545,454.545,Bajaj
279,TVS Apache RTR 160,50000.0,2016,Individual,1st owner,40000,,9,8,4444.444,370.37,TVS
280,Honda Dio,35000.0,2014,Individual,1st owner,25000,,11,5,2272.727,189.394,Honda
281,Royal Enfield Thunderbird 350,160000.0,2018,Individual,1st owner,19000,,7,4,2714.286,226.191,Royal Enfield
282,Hero Maestro,25000.0,2015,Individual,2nd owner,40000,49412.0,10,8,4000.0,333.333,Hero
283,Hero Honda CBZ extreme,42000.0,2010,Individual,1st owner,51000,,15,11,3400.0,283.333,Hero Honda
284,Bajaj Dominar 400,200000.0,2019,Individual,1st owner,7600,,6,2,1266.667,105.556,Bajaj
285,Honda Activa 125,40000.0,2014,Individual,1st owner,14965,,11,3,1360.455,113.371,Honda
286,Royal Enfield Classic Desert Storm,130000.0,2015,Individual,2nd owner,25000,181445.0,10,5,2500.0,208.333,Royal Enfield
287,KTM 250 Duke,195000.0,2019,Individual,1st owner,6000,,6,2,1000.0,83.333,KTM
288,KTM RC 390,270000.0,2019,Individual,1st owner,2380,,6,1,396.667,33.056,KTM
289,Kawasaki Ninja 650 [2018-2019],425000.0,2017,Individual,2nd owner,13600,599000.0,8,3,1700.0,141.667,Kawasaki
290,TVS Apache RTR 200 4V,85000.0,2018,Individual,1st owner,10000,,7,2,1428.571,119.048,TVS
291,Kawasaki Ninja 250R,125000.0,2010,Individual,2nd owner,21000,317934.0,15,5,1400.0,116.667,Kawasaki
292,TVS Wego,45000.0,2018,Individual,1st owner,10000,54760.0,7,2,1428.571,119.048,TVS
293,Honda CBR-250R,85000.0,2014,Individual,2nd owner,18600,171646.0,11,4,1690.909,140.909,Honda
294,Bajaj Pulsar NS200,85000.0,2018,Individual,1st owner,7750,,7,2,1107.143,92.262,Bajaj
295,Suzuki GSX S750,760000.0,2019,Individual,1st owner,2800,752020.0,6,1,466.667,38.889,Suzuki
296,Royal Enfield Thunderbird 350,100000.0,2015,Individual,1st owner,30000,,10,6,3000.0,250.0,Royal Enfield
297,Royal Enfield Classic 350,95000.0,2015,Individual,1st owner,9800,,10,2,980.0,81.667,Royal Enfield
298,Honda CB Shine SP,48000.0,2015,Individual,1st owner,25000,67469.0,10,5,2500.0,208.333,Honda
299,Bajaj Avenger Street 150 [2018],40000.0,2016,Individual,1st owner,29689,80435.0,9,6,3298.778,274.898,Bajaj
300,Honda CBF Stunner,37000.0,2014,Individual,1st owner,43000,58757.0,11,9,3909.091,325.758,Honda
301,Bajaj Avenger [2015],38000.0,2014,Individual,2nd owner,28243,75502.0,11,6,2567.545,213.962,Bajaj
302,Suzuki Gixxer [2014-2018],55000.0,2015,Individual,1st owner,25000,78316.0,10,5,2500.0,208.333,Suzuki
303,Suzuki Access 125,45000.0,2017,Individual,1st owner,22300,,8,5,2787.5,232.292,Suzuki
304,TVS Scooty Streak,18000.0,2009,Individual,2nd owner,33595,44140.0,16,7,2099.688,174.974,TVS
305,Royal Enfield Thunderbird 350X,140000.0,2018,Individual,1st owner,5505,,7,2,786.429,65.536,Royal Enfield
306,Yamaha Rx,70000.0,2000,Individual,3rd owner,5000,,25,1,200.0,16.667,Yamaha
307,Hero Honda Splendor Plus,15000.0,2007,Individual,1st owner,30000,,18,6,1666.667,138.889,Hero Honda
308,Bajaj Pulsar 125,65000.0,2019,Individual,1st owner,16000,,6,4,2666.667,222.222,Bajaj
309,Honda Activa 5G,42000.0,2018,Individual,1st owner,22000,57557.0,7,5,3142.857,261.905,Honda
310,Yamaha Fazer Dlx,58000.0,2012,Individual,1st owner,40000,,13,8,3076.923,256.41,Yamaha
311,Harley-Davidson Street 750,330000.0,2014,Individual,4th owner,6500,534000.0,11,2,590.909,49.242,Harley-Davidson
312,Hero Xtreme 2014,35000.0,2013,Individual,1st owner,15000,72973.0,12,3,1250.0,104.167,Hero
313,Royal Enfield Classic 350,162000.0,2018,Individual,1st owner,17365,,7,4,2480.714,206.726,Royal Enfield
314,Hero Honda Hunk,28000.0,2009,Individual,1st owner,40000,,16,8,2500.0,208.333,Hero Honda
315,Royal Enfield Interceptor 650,285000.0,2019,Individual,1st owner,5500,,6,2,916.667,76.389,Royal Enfield
316,Royal Enfield Classic 350,125000.0,2017,Individual,1st owner,33900,,8,7,4237.5,353.125,Royal Enfield
317,Bajaj Pulsar 150 [2001-2011],15000.0,2005,Individual,1st owner,47670,,20,10,2383.5,198.625,Bajaj
318,Honda Activa [2000-2015],29500.0,2013,Individual,1st owner,45000,50267.0,12,9,3750.0,312.5,Honda
319,TVS Apache RR310,200000.0,2019,Individual,1st owner,5000,,6,1,833.333,69.444,TVS
320,Jawa Standard,160000.0,2019,Individual,1st owner,5700,,6,2,950.0,79.167,Jawa
321,Hero Honda Splendor PRO,30000.0,2012,Individual,1st owner,22866,,13,5,1758.923,146.577,Hero Honda
322,Yamaha FZ25,110000.0,2019,Individual,1st owner,10000,133680.0,6,2,1666.667,138.889,Yamaha
323,Bajaj Pulsar 220F,70000.0,2016,Individual,1st owner,31000,,9,7,3444.444,287.037,Bajaj
324,Yamaha Fascino 110,69000.0,2019,Individual,1st owner,1600,57112.0,6,1,266.667,22.222,Yamaha
325,Yamaha FZ16,30000.0,2011,Individual,1st owner,44000,78712.0,14,9,3142.857,261.905,Yamaha
326,Yamaha FZ16,30000.0,2010,Individual,1st owner,70000,78712.0,15,14,4666.667,388.889,Yamaha
327,TVS Star City Plus,42000.0,2017,Individual,1st owner,21000,,8,5,2625.0,218.75,TVS
328,Royal Enfield Classic 350,160000.0,2018,Individual,1st owner,17365,,7,4,2480.714,206.726,Royal Enfield
329,Bajaj Pulsar 135 LS,20000.0,2010,Individual,1st owner,80000,64589.0,15,16,5333.333,444.444,Bajaj
330,Suzuki Access 125,45000.0,2017,Individual,1st owner,15000,,8,3,1875.0,156.25,Suzuki
331,Bajaj Pulsar 135 LS,23000.0,2010,Individual,1st owner,77000,64589.0,15,16,5133.333,427.778,Bajaj
332,UM Renegade Commando,140000.0,2017,Individual,2nd owner,40000,180525.0,8,8,5000.0,416.667,UM
333,Hero Honda Splendor Plus,12000.0,2005,Individual,1st owner,48000,,20,10,2400.0,200.0,Hero Honda
334,Hero Passion PRO i3s,50000.0,2017,Individual,1st owner,18000,56925.0,8,4,2250.0,187.5,Hero
335,Royal Enfield Classic 350,140000.0,2018,Individual,1st owner,20000,,7,4,2857.143,238.095,Royal Enfield
336,Honda Activa 5G,55000.0,2019,Individual,1st owner,9000,59422.0,6,2,1500.0,125.0,Honda
337,Yamaha Fascino 110,45000.0,2016,Individual,1st owner,56000,54500.0,9,12,6222.222,518.519,Yamaha
338,Hero Splendor Plus,25000.0,2012,Individual,1st owner,50000,,13,10,3846.154,320.513,Hero
339,Royal Enfield Thunderbird 350,90000.0,2014,Individual,1st owner,12000,,11,3,1090.909,90.909,Royal Enfield
340,Yamaha YZF R15 V3,120000.0,2018,Individual,1st owner,11500,,7,3,1642.857,136.905,Yamaha
341,KTM RC 200,120000.0,2015,Individual,1st owner,20000,,10,4,2000.0,166.667,KTM
342,TVS Radeon,35000.0,2017,Individual,1st owner,20000,66492.0,8,4,2500.0,208.333,TVS
343,Hero HF Deluxe,35000.0,2017,Individual,1st owner,27000,,8,6,3375.0,281.25,Hero
344,BMW G310GS,300000.0,2018,Individual,1st owner,2500,349000.0,7,1,357.143,29.762,BMW
345,Royal Enfield Thunderbird 350,87000.0,2012,Individual,1st owner,20477,,13,5,1575.154,131.263,Royal Enfield
346,Hero Honda Splendor Plus,18000.0,2010,Individual,1st owner,35700,,15,8,2380.0,198.333,Hero Honda
347,Yamaha FZ S V 2.0,50000.0,2014,Individual,1st owner,70000,84042.0,11,14,6363.636,530.303,Yamaha
348,Bajaj Avenger Street 220,60000.0,2016,Individual,1st owner,29000,95955.0,9,6,3222.222,268.519,Bajaj
349,Hero Honda Splendor Plus,15000.0,2004,Individual,1st owner,14500,,21,3,690.476,57.54,Hero Honda
350,Bajaj Platina 100,30000.0,2018,Individual,1st owner,37000,,7,8,5285.714,440.476,Bajaj
351,Royal Enfield Thunderbird 350X,160000.0,2018,Individual,1st owner,3246,,7,1,463.714,38.643,Royal Enfield
352,Honda CB Unicorn 150,50000.0,2016,Individual,1st owner,27000,74295.0,9,6,3000.0,250.0,Honda
353,Suzuki Gixxer [2014-2018],62000.0,2017,Individual,1st owner,15000,78316.0,8,3,1875.0,156.25,Suzuki
354,Bajaj Platina 100,45000.0,2019,Individual,1st owner,15000,,6,3,2500.0,208.333,Bajaj
355,Royal Enfield Thunderbird 350,120000.0,2017,Individual,1st owner,4050,,8,1,506.25,42.188,Royal Enfield
356,Royal Enfield Thunderbird 500,125000.0,2014,Individual,1st owner,25000,190874.0,11,5,2272.727,189.394,Royal Enfield
357,Bajaj Pulsar AS150,50000.0,2015,Individual,1st owner,5000,80821.0,10,1,500.0,41.667,Bajaj
358,Bajaj Pulsar 150,30000.0,2012,Individual,2nd owner,5000,,13,1,384.615,32.051,Bajaj
359,Hero Pleasure,40000.0,2014,Individual,1st owner,14000,51600.0,11,3,1272.727,106.061,Hero
360,Honda Aviator,41000.0,2013,Individual,1st owner,36500,63537.0,12,8,3041.667,253.472,Honda
361,Royal Enfield Thunderbird 350,120000.0,2017,Individual,2nd owner,9000,,8,2,1125.0,93.75,Royal Enfield
362,Hero Ignitor,35000.0,2014,Individual,1st owner,33200,67722.0,11,7,3018.182,251.515,Hero
363,Hero Honda CD100SS,10000.0,1997,Individual,1st owner,646000,,28,130,23071.429,1922.619,Hero Honda
364,TVS Apache RTR 160,35000.0,2011,Individual,1st owner,25000,,14,5,1785.714,148.809,TVS
365,Hero Achiever 150,38000.0,2017,Individual,1st owner,26000,69750.0,8,6,3250.0,270.833,Hero
366,Vespa LX 125,50000.0,2015,Individual,1st owner,3909,77900.0,10,1,390.9,32.575,Vespa
367,Honda Activa 3G,40000.0,2015,Individual,1st owner,7672,54605.0,10,2,767.2,63.933,Honda
368,Hero Splendor Plus i3s,70000.0,2019,Individual,1st owner,3000,55600.0,6,1,500.0,41.667,Hero
369,Royal Enfield Classic 350,140000.0,2016,Individual,1st owner,3654,,9,1,406.0,33.833,Royal Enfield
370,Hero Maestro,26500.0,2016,Individual,2nd owner,40000,53830.0,9,8,4444.444,370.37,Hero
371,Hero Glamour 125,38000.0,2016,Dealer,1st owner,5500,61600.0,9,2,611.111,50.926,Hero
372,Yamaha FZ16,60000.0,2016,Individual,1st owner,29950,78712.0,9,6,3327.778,277.315,Yamaha
373,Royal Enfield Himalayan,145000.0,2017,Individual,1st owner,14000,,8,3,1750.0,145.833,Royal Enfield
374,Yamaha FZ S V 2.0,78000.0,2017,Individual,1st owner,26100,84480.0,8,6,3262.5,271.875,Yamaha
375,Hero Maestro Edge,58000.0,2018,Individual,1st owner,6000,54580.0,7,2,857.143,71.429,Hero
376,Yamaha FZ25,130000.0,2017,Individual,1st owner,4000,132680.0,8,1,500.0,41.667,Yamaha
377,TVS Victor,20000.0,2001,Individual,1st owner,50000,54852.0,24,10,2083.333,173.611,TVS
378,Bajaj Dominar 400 [2018],150000.0,2018,Individual,1st owner,5475,163331.0,7,2,782.143,65.179,Bajaj
379,Bajaj Pulsar 180,32000.0,2012,Individual,1st owner,40000,85011.0,13,8,3076.923,256.41,Bajaj
380,Bajaj Pulsar 180,50000.0,2017,Individual,1st owner,20500,85011.0,8,5,2562.5,213.542,Bajaj
381,KTM 200 Duke,120000.0,2017,Individual,1st owner,4100,,8,1,512.5,42.708,KTM
382,Bajaj Avenger Street 150 [2018],60000.0,2016,Individual,2nd owner,23097,80435.0,9,5,2566.333,213.861,Bajaj
383,Bajaj Discover 100 M,20000.0,2011,Individual,1st owner,37734,44756.0,14,8,2695.286,224.607,Bajaj
384,Royal Enfield Bullet 350 [2007-2011],65000.0,2011,Individual,2nd owner,65000,,14,13,4642.857,386.905,Royal Enfield
385,Yamaha YZF R15 S,70000.0,2016,Individual,1st owner,8000,117926.0,9,2,888.889,74.074,Yamaha
386,Yamaha FZ V 2.0,35000.0,2014,Individual,1st owner,13500,81508.0,11,3,1227.273,102.273,Yamaha
387,Bajaj Avenger Street 220,95000.0,2018,Individual,1st owner,23000,95955.0,7,5,3285.714,273.81,Bajaj
388,Bajaj Pulsar 150,8000.0,2005,Individual,1st owner,58000,,20,12,2900.0,241.667,Bajaj
389,Royal Enfield Thunderbird 350,85000.0,2010,Individual,1st owner,15000,,15,3,1000.0,83.333,Royal Enfield
390,Hero Achiever 150,65000.0,2016,Individual,1st owner,29000,69750.0,9,6,3222.222,268.519,Hero
391,Hero Passion Pro 110,39000.0,2013,Individual,1st owner,20000,,12,4,1666.667,138.889,Hero
392,Hero Duet,45000.0,2017,Individual,1st owner,35000,50280.0,8,7,4375.0,364.583,Hero
393,Bajaj Avenger Street 150 [2018],60000.0,2016,Individual,1st owner,45137,80435.0,9,10,5015.222,417.935,Bajaj
394,Royal Enfield Classic Stealth Black,160000.0,2018,Individual,1st owner,7500,204977.0,7,2,1071.429,89.286,Royal Enfield
395,Bajaj Pulsar 150,35000.0,2011,Individual,1st owner,35600,,14,8,2542.857,211.905,Bajaj
396,Bajaj Pulsar 135 LS,40000.0,2018,Individual,1st owner,15000,64589.0,7,3,2142.857,178.571,Bajaj
397,Yamaha Fazer [2009-2016],40000.0,2012,Individual,1st owner,7353,84751.0,13,2,565.615,47.135,Yamaha
398,Honda CB Hornet 160R,56000.0,2017,Individual,2nd owner,13200,87543.0,8,3,1650.0,137.5,Honda
399,Honda CB Unicorn Dazzler,22000.0,2011,Individual,1st owner,38350,71757.0,14,8,2739.286,228.274,Honda
400,Yamaha YBR 125,36000.0,2014,Individual,1st owner,20400,54593.0,11,5,1854.545,154.545,Yamaha
401,Suzuki Intruder 150 Fi,100000.0,2018,Individual,1st owner,14500,110240.0,7,3,2071.429,172.619,Suzuki
402,Bajaj V15,42000.0,2016,Individual,1st owner,19500,67187.0,9,4,2166.667,180.556,Bajaj
403,Royal Enfield Electra 5 S,85000.0,2008,Individual,1st owner,20000,,17,4,1176.471,98.039,Royal Enfield
404,Hero Passion PRO TR,45000.0,2014,Individual,1st owner,36000,54586.0,11,8,3272.727,272.727,Hero
405,Yamaha FZ25,145000.0,2019,Individual,1st owner,4500,133680.0,6,1,750.0,62.5,Yamaha
406,Hero Karizma [2003-2014],50000.0,2013,Individual,1st owner,38000,85766.0,12,8,3166.667,263.889,Hero
407,Royal Enfield Interceptor 650,270000.0,2019,Individual,1st owner,9000,,6,2,1500.0,125.0,Royal Enfield
408,Royal Enfield Thunderbird 350,60000.0,2006,Individual,1st owner,40000,,19,8,2105.263,175.439,Royal Enfield
409,Royal Enfield Classic Squadron Blue,140000.0,2017,Individual,1st owner,25000,181445.0,8,5,3125.0,260.417,Royal Enfield
410,Hero Honda Splendor Plus,28000.0,2008,Individual,1st owner,70889,,17,15,4169.941,347.495,Hero Honda
411,KTM 390 Duke ABS [2013-2016],180000.0,2015,Individual,2nd owner,13125,202127.0,10,3,1312.5,109.375,KTM
412,Bajaj Pulsar 180,42000.0,2014,Individual,2nd owner,19600,85011.0,11,4,1781.818,148.485,Bajaj
413,Suzuki Access 125 [2007-2016],16000.0,2011,Individual,1st owner,40000,58314.0,14,8,2857.143,238.095,Suzuki
414,Hero Splendor iSmart,40000.0,2015,Individual,1st owner,19055,52271.0,10,4,1905.5,158.792,Hero
415,Bajaj Pulsar 180,38000.0,2012,Individual,2nd owner,57000,85011.0,13,12,4384.615,365.385,Bajaj
416,Yamaha YZF R15 S,85000.0,2017,Individual,1st owner,13000,117926.0,8,3,1625.0,135.417,Yamaha
417,Honda Aviator,28000.0,2013,Individual,1st owner,28087,63537.0,12,6,2340.583,195.049,Honda
418,KTM 200 Duke,135000.0,2018,Individual,1st owner,24000,,7,5,3428.571,285.714,KTM
419,Royal Enfield Thunderbird 350,120000.0,2016,Individual,1st owner,24600,,9,5,2733.333,227.778,Royal Enfield
420,Hero Karizma ZMR,37000.0,2010,Individual,1st owner,27500,108000.0,15,6,1833.333,152.778,Hero
421,Royal Enfield Classic Chrome,135000.0,2015,Individual,1st owner,45000,189313.0,10,9,4500.0,375.0,Royal Enfield
422,Hero Honda Splendor,10000.0,2000,Individual,1st owner,61000,,25,13,2440.0,203.333,Hero Honda
423,Mahindra Rodeo,20000.0,2013,Individual,1st owner,7000,47343.0,12,2,583.333,48.611,Mahindra
424,TVS Apache RTR 160,83299.0,2019,Individual,1st owner,6400,,6,2,1066.667,88.889,TVS
425,Yamaha Fazer FI V 2.0 [2016-2018],65000.0,2018,Individual,1st owner,3500,89643.0,7,1,500.0,41.667,Yamaha
426,Honda Activa 5G,50000.0,2018,Individual,1st owner,14000,59422.0,7,3,2000.0,166.667,Honda
427,Bajaj Pulsar 220 Fi,65000.0,2013,Individual,1st owner,6409,,12,2,534.083,44.507,Bajaj
428,Hero Honda Karizma ZMR [2010],45000.0,2012,Individual,3rd owner,44000,,13,9,3384.615,282.051,Hero Honda
429,Honda CB Hornet 160R,60000.0,2017,Individual,1st owner,16500,92210.0,8,4,2062.5,171.875,Honda
430,Royal Enfield Bullet 350,110000.0,2015,Individual,1st owner,36000,,10,8,3600.0,300.0,Royal Enfield
431,Hero Honda CD Deluxe,14700.0,2005,Individual,2nd owner,30000,,20,6,1500.0,125.0,Hero Honda
432,Yamaha Saluto,38000.0,2015,Individual,1st owner,15000,63180.0,10,3,1500.0,125.0,Yamaha
433,Suzuki Access 125,70000.0,2018,Individual,1st owner,14500,,7,3,2071.429,172.619,Suzuki
434,TVS Sport,35000.0,2018,Individual,1st owner,26600,,7,6,3800.0,316.667,TVS
435,Hero Honda Glamour,19000.0,2012,Individual,1st owner,32000,,13,7,2461.538,205.128,Hero Honda
436,KTM 125 Duke,130000.0,2019,Individual,1st owner,3500,,6,1,583.333,48.611,KTM
437,Bajaj Pulsar NS200,50000.0,2013,Dealer,1st owner,58203,,12,12,4850.25,404.188,Bajaj
438,Bajaj Pulsar 150 [2001-2011],18000.0,2005,Individual,1st owner,21885,,20,5,1094.25,91.188,Bajaj
439,Hero Xtreme 200R,87000.0,2019,Individual,1st owner,3200,93400.0,6,1,533.333,44.444,Hero
440,Hero Honda Splendor Plus,40000.0,2007,Individual,1st owner,40000,,18,8,2222.222,185.185,Hero Honda
441,Bajaj Discover 150S,35000.0,2015,Individual,1st owner,28000,63331.0,10,6,2800.0,233.333,Bajaj
442,Honda CBR-250R,100000.0,2011,Individual,2nd owner,3500,171646.0,14,1,250.0,20.833,Honda
443,Hero Pleasure,30000.0,2013,Individual,1st owner,24000,51600.0,12,5,2000.0,166.667,Hero
444,Bajaj Avenger Cruise 220,95000.0,2018,Individual,1st owner,1800,,7,1,257.143,21.429,Bajaj
445,Bajaj Discover 125 ST,25000.0,2012,Individual,1st owner,76000,58438.0,13,16,5846.154,487.18,Bajaj
446,Bajaj Pulsar 150 [2001-2011],26500.0,2010,Individual,1st owner,52500,,15,11,3500.0,291.667,Bajaj
447,Bajaj Boxer,12000.0,2008,Individual,1st owner,17500,,17,4,1029.412,85.784,Bajaj
448,Bajaj Pulsar 150,20000.0,2006,Individual,1st owner,41000,,19,9,2157.895,179.825,Bajaj
449,Royal Enfield Classic Signals,195000.0,2018,Individual,1st owner,2845,164095.0,7,1,406.429,33.869,Royal Enfield
450,Bajaj Pulsar 180,14900.0,2007,Individual,1st owner,50000,85011.0,18,10,2777.778,231.481,Bajaj
451,Honda Dream Yuga,48000.0,2018,Individual,1st owner,7110,56147.0,7,2,1015.714,84.643,Honda
452,Yamaha FZ S [2012-2016],40000.0,2014,Individual,1st owner,27785,79432.0,11,6,2525.909,210.492,Yamaha
453,Honda CB Unicorn,45000.0,2010,Individual,1st owner,75000,71681.0,15,15,5000.0,416.667,Honda
454,Honda Shine,25000.0,2010,Individual,1st owner,20000,,15,4,1333.333,111.111,Honda
455,Honda Activa 3G,25000.0,2011,Individual,1st owner,20000,54605.0,14,4,1428.571,119.048,Honda
456,Honda Activa [2000-2015],10000.0,2009,Individual,1st owner,60000,50267.0,16,12,3750.0,312.5,Honda
457,Mahindra Flyte,22000.0,2009,Individual,3rd owner,20000,44493.0,16,4,1250.0,104.167,Mahindra
458,Honda Activa 3G,45000.0,2015,Individual,1st owner,18000,54605.0,10,4,1800.0,150.0,Honda
459,KTM 250 Duke,135000.0,2017,Individual,1st owner,16500,,8,4,2062.5,171.875,KTM
460,Yamaha Ray Z,75000.0,2017,Individual,1st owner,15000,52949.0,8,3,1875.0,156.25,Yamaha
461,Bajaj Pulsar 135 LS,24000.0,2010,Individual,1st owner,45000,64589.0,15,9,3000.0,250.0,Bajaj
462,Yamaha FZ16,45000.0,2016,Individual,1st owner,37000,78712.0,9,8,4111.111,342.593,Yamaha
463,Hero Passion PRO i3s,55000.0,2017,Individual,1st owner,14600,54475.0,8,3,1825.0,152.083,Hero
464,Bajaj Discover 125,10000.0,2006,Individual,1st owner,51000,57549.0,19,11,2684.211,223.684,Bajaj
465,Royal Enfield Classic 350,135000.0,2017,Individual,1st owner,15000,,8,3,1875.0,156.25,Royal Enfield
466,Honda CB Unicorn 150,55000.0,2017,Individual,1st owner,12000,74295.0,8,3,1500.0,125.0,Honda
467,Bajaj Avenger [2015],35000.0,2012,Individual,1st owner,15000,75502.0,13,3,1153.846,96.154,Bajaj
468,Bajaj Super,20000.0,1988,Individual,1st owner,21000,,37,5,567.568,47.297,Bajaj
469,Bajaj Pulsar 150,26000.0,2012,Individual,2nd owner,65000,,13,13,5000.0,416.667,Bajaj
470,Honda Activa [2000-2015],23000.0,2009,Individual,1st owner,95000,50267.0,16,19,5937.5,494.792,Honda
471,Royal Enfield Classic Desert Storm,150000.0,2015,Individual,1st owner,23000,181445.0,10,5,2300.0,191.667,Royal Enfield
472,Hero Honda CD Deluxe,24700.0,2012,Individual,2nd owner,40000,,13,8,3076.923,256.41,Hero Honda
473,Hero Duet,35000.0,2016,Individual,2nd owner,49637,54080.0,9,10,5515.222,459.602,Hero
474,Hero Honda Passion PRO [2012],12000.0,2012,Individual,1st owner,90000,,13,18,6923.077,576.923,Hero Honda
475,Royal Enfield Classic 350,150000.0,2017,Individual,1st owner,7000,,8,2,875.0,72.917,Royal Enfield
476,Honda Activa 3G,50000.0,2016,Individual,1st owner,5326,54605.0,9,2,591.778,49.315,Honda
477,Honda Activa [2000-2015],25000.0,2009,Individual,1st owner,585659,50267.0,16,118,36603.688,3050.307,Honda
478,Hero Honda CD100,15000.0,1999,Dealer,2nd owner,10000,,26,2,384.615,32.051,Hero Honda
479,Hero Super Splendor,35000.0,2014,Individual,2nd owner,37541,,11,8,3412.818,284.401,Hero
480,Honda CB Trigger,45000.0,2015,Individual,1st owner,36000,83437.0,10,8,3600.0,300.0,Honda
481,Honda Dream Yuga,25000.0,2013,Individual,1st owner,29000,56147.0,12,6,2416.667,201.389,Honda
482,Hero Honda Passion Plus,40000.0,2018,Individual,1st owner,29000,,7,6,4142.857,345.238,Hero Honda
483,TVS Spectra,17000.0,2008,Individual,1st owner,50000,,17,10,2941.176,245.098,TVS
484,Hero Ignitor,30000.0,2016,Individual,1st owner,18000,67722.0,9,4,2000.0,166.667,Hero
485,Hero Honda CD100,15000.0,2000,Individual,1st owner,50000,,25,10,2000.0,166.667,Hero Honda
486,Bajaj Pulsar 220F,60000.0,2017,Individual,2nd owner,40000,,8,8,5000.0,416.667,Bajaj
487,Hero Splendor Plus,30000.0,2013,Individual,1st owner,20000,,12,4,1666.667,138.889,Hero
488,Yamaha YZF R15 [2011-2018],60000.0,2012,Individual,1st owner,22000,118997.0,13,5,1692.308,141.026,Yamaha
489,Honda Activa 3G,32000.0,2015,Individual,1st owner,4500,54605.0,10,1,450.0,37.5,Honda
490,Bajaj Discover 150,30000.0,2012,Individual,1st owner,50000,54299.0,13,10,3846.154,320.513,Bajaj
491,Bajaj Pulsar 150 [2001-2011],55000.0,2010,Individual,1st owner,42000,,15,9,2800.0,233.333,Bajaj
492,Bajaj Avenger Street 150 [2018],75000.0,2016,Individual,1st owner,35000,80435.0,9,7,3888.889,324.074,Bajaj
